timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725178683797,370,PostReqres,201,Created,Konfigurasi beban 1-38,text,true,,934,223,66,66,https://reqres.in/api/users,370,0,0
1725178684089,78,GetReqres,200,OK,Konfigurasi beban 1-69,text,true,,1941,159,66,66,https://reqres.in/api/users?page=2,78,0,38
1725178683797,372,DeleteReqres,204,No Content,Konfigurasi beban 1-8,,true,,804,176,66,66,https://reqres.in/api/users/2,0,0,0
1725178683797,373,DeleteReqres,204,No Content,Konfigurasi beban 1-14,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178683797,374,PostReqres,201,Created,Konfigurasi beban 1-42,text,true,,934,223,64,64,https://reqres.in/api/users,374,0,0
1725178683797,374,DeleteReqres,204,No Content,Konfigurasi beban 1-16,,true,,804,176,64,64,https://reqres.in/api/users/2,0,0,0
1725178683808,366,DeleteReqres,204,No Content,Konfigurasi beban 1-20,,true,,804,176,63,63,https://reqres.in/api/users/2,0,0,0
1725178684103,74,GetReqres,200,OK,Konfigurasi beban 1-70,text,true,,1940,159,63,63,https://reqres.in/api/users?page=2,74,0,43
1725178683810,375,DeleteReqres,204,No Content,Konfigurasi beban 1-18,,true,,804,176,63,63,https://reqres.in/api/users/2,0,0,0
1725178683813,374,DeleteReqres,204,No Content,Konfigurasi beban 1-17,,true,,804,176,62,62,https://reqres.in/api/users/2,0,0,0
1725178683808,383,DeleteReqres,204,No Content,Konfigurasi beban 1-15,,true,,804,176,61,61,https://reqres.in/api/users/2,0,0,0
1725178683809,382,PostReqres,201,Created,Konfigurasi beban 1-43,text,true,,934,223,61,61,https://reqres.in/api/users,382,0,0
1725178684118,74,GetReqres,200,OK,Konfigurasi beban 1-71,text,true,,1941,159,61,61,https://reqres.in/api/users?page=2,74,0,48
1725178683829,370,DeleteReqres,204,No Content,Konfigurasi beban 1-19,,true,,804,176,61,61,https://reqres.in/api/users/2,0,0,0
1725178683828,372,PostReqres,201,Created,Konfigurasi beban 1-44,text,true,,934,223,60,60,https://reqres.in/api/users,372,0,0
1725178683836,373,PostReqres,201,Created,Konfigurasi beban 1-45,text,true,,934,223,60,60,https://reqres.in/api/users,373,0,0
1725178683695,514,DeleteReqres,204,No Content,Konfigurasi beban 1-12,,true,,804,176,60,60,https://reqres.in/api/users/2,0,0,0
1725178683840,370,DeleteReqres,204,No Content,Konfigurasi beban 1-22,,true,,804,176,60,60,https://reqres.in/api/users/2,0,0,0
1725178683842,370,PostReqres,201,Created,Konfigurasi beban 1-47,text,true,,934,223,60,60,https://reqres.in/api/users,370,0,0
1725178683695,516,DeleteReqres,204,No Content,Konfigurasi beban 1-9,,true,,804,176,60,60,https://reqres.in/api/users/2,0,0,0
1725178683824,390,DeleteReqres,204,No Content,Konfigurasi beban 1-11,,true,,804,176,58,58,https://reqres.in/api/users/2,0,0,0
1725178684132,84,GetReqres,200,OK,Konfigurasi beban 1-72,text,true,,1937,159,57,57,https://reqres.in/api/users?page=2,84,0,55
1725178683856,369,DeleteReqres,204,No Content,Konfigurasi beban 1-24,,true,,804,176,58,58,https://reqres.in/api/users/2,0,0,0
1725178683821,404,DeleteReqres,204,No Content,Konfigurasi beban 1-13,,true,,804,176,58,58,https://reqres.in/api/users/2,0,0,0
1725178684147,79,GetReqres,200,OK,Konfigurasi beban 1-73,text,true,,1932,159,58,58,https://reqres.in/api/users?page=2,79,0,44
1725178683851,385,PostReqres,201,Created,Konfigurasi beban 1-46,text,true,,934,223,56,56,https://reqres.in/api/users,385,0,0
1725178683856,380,DeleteReqres,204,No Content,Konfigurasi beban 1-23,,true,,804,176,56,56,https://reqres.in/api/users/2,0,0,0
1725178684163,148,GetReqres,200,OK,Konfigurasi beban 1-74,text,true,,1937,159,60,60,https://reqres.in/api/users?page=2,148,0,42
1725178684178,133,GetReqres,200,OK,Konfigurasi beban 1-75,text,true,,1932,159,60,60,https://reqres.in/api/users?page=2,133,0,39
